artifact,type,name,version,purl
source,library,@babel/cli,7.1.2,pkg:npm/%40babel/cli@7.1.2
source,library,@babel/code-frame,7.29.7,pkg:npm/%40babel/code-frame@7.29.7
source,library,@babel/compat-data,7.29.7,pkg:npm/%40babel/compat-data@7.29.7
source,library,@babel/core,7.1.2,pkg:npm/%40babel/core@7.1.2
source,library,@babel/generator,7.29.8,pkg:npm/%40babel/generator@7.29.8
source,library,@babel/helper-annotate-as-pure,7.29.7,pkg:npm/%40babel/helper-annotate-as-pure@7.29.7
source,library,@babel/helper-builder-react-jsx,7.29.7,pkg:npm/%40babel/helper-builder-react-jsx@7.29.7
source,library,@babel/helper-compilation-targets,7.29.7,pkg:npm/%40babel/helper-compilation-targets@7.29.7
source,library,@babel/helper-create-regexp-features-plugin,7.29.7,pkg:npm/%40babel/helper-create-regexp-features-plugin@7.29.7
source,library,@babel/helper-environment-visitor,7.24.7,pkg:npm/%40babel/helper-environment-visitor@7.24.7
source,library,@babel/helper-function-name,7.24.7,pkg:npm/%40babel/helper-function-name@7.24.7
source,library,@babel/helper-globals,7.29.7,pkg:npm/%40babel/helper-globals@7.29.7
source,library,@babel/helper-member-expression-to-functions,7.29.7,pkg:npm/%40babel/helper-member-expression-to-functions@7.29.7
source,library,@babel/helper-module-imports,7.29.7,pkg:npm/%40babel/helper-module-imports@7.29.7
source,library,@babel/helper-module-transforms,7.29.7,pkg:npm/%40babel/helper-module-transforms@7.29.7
source,library,@babel/helper-optimise-call-expression,7.29.7,pkg:npm/%40babel/helper-optimise-call-expression@7.29.7
source,library,@babel/helper-plugin-utils,7.29.7,pkg:npm/%40babel/helper-plugin-utils@7.29.7
source,library,@babel/helper-remap-async-to-generator,7.29.7,pkg:npm/%40babel/helper-remap-async-to-generator@7.29.7
source,library,@babel/helper-replace-supers,7.29.7,pkg:npm/%40babel/helper-replace-supers@7.29.7
source,library,@babel/helper-simple-access,7.29.7,pkg:npm/%40babel/helper-simple-access@7.29.7
source,library,@babel/helper-skip-transparent-expression-wrappers,7.29.7,pkg:npm/%40babel/helper-skip-transparent-expression-wrappers@7.29.7
source,library,@babel/helper-string-parser,7.29.7,pkg:npm/%40babel/helper-string-parser@7.29.7
source,library,@babel/helper-validator-identifier,7.29.7,pkg:npm/%40babel/helper-validator-identifier@7.29.7
source,library,@babel/helper-validator-option,7.29.7,pkg:npm/%40babel/helper-validator-option@7.29.7
source,library,@babel/helper-wrap-function,7.29.7,pkg:npm/%40babel/helper-wrap-function@7.29.7
source,library,@babel/helpers,7.29.7,pkg:npm/%40babel/helpers@7.29.7
source,library,@babel/parser,7.29.8,pkg:npm/%40babel/parser@7.29.8
source,library,@babel/plugin-proposal-async-generator-functions,7.20.7,pkg:npm/%40babel/plugin-proposal-async-generator-functions@7.20.7
source,library,@babel/plugin-proposal-class-properties,7.1.0,pkg:npm/%40babel/plugin-proposal-class-properties@7.1.0
source,library,@babel/plugin-proposal-json-strings,7.18.6,pkg:npm/%40babel/plugin-proposal-json-strings@7.18.6
source,library,@babel/plugin-proposal-object-rest-spread,7.20.7,pkg:npm/%40babel/plugin-proposal-object-rest-spread@7.20.7
source,library,@babel/plugin-proposal-optional-catch-binding,7.18.6,pkg:npm/%40babel/plugin-proposal-optional-catch-binding@7.18.6
source,library,@babel/plugin-proposal-optional-chaining,7.21.0,pkg:npm/%40babel/plugin-proposal-optional-chaining@7.21.0
source,library,@babel/plugin-proposal-unicode-property-regex,7.18.6,pkg:npm/%40babel/plugin-proposal-unicode-property-regex@7.18.6
source,library,@babel/plugin-syntax-async-generators,7.8.4,pkg:npm/%40babel/plugin-syntax-async-generators@7.8.4
